-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2000 through 01/01/2024 in LST
Location: latitude  26.7578   longitude 40.9869 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1157.45 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2MDEW          MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PS              MERRA-2 Surface Pressure (kPa) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX       MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WD10M           MERRA-2 Wind Direction at 10 Meters (Degrees) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,T2M,T2MDEW,T2M_MAX,T2M_MIN,RH2M,PS,WS10M,WS10M_MAX,WD10M,PRECTOTCORR
2000,2,24,12.63,-6.67,22.0,5.99,27.32,88.28,6.13,10.86,260.3,0.0
2000,2,25,10.52,-5.3,20.52,2.58,35.49,88.6,4.05,5.75,340.5,0.0
2000,2,26,11.32,-3.38,21.22,2.6,38.43,88.48,4.07,5.33,96.8,0.0
2000,2,27,10.41,-4.24,18.89,3.89,38.85,88.33,4.65,8.9,310.2,0.0
2000,2,28,9.83,-3.35,18.15,2.44,42.75,88.79,4.18,6.3,68.7,0.0
2000,2,29,11.61,-3.77,20.53,3.58,35.13,88.87,5.79,8.2,114.1,0.0
2000,3,1,12.36,-6.16,22.74,5.1,30.76,88.5,5.93,8.61,249.5,0.0
2000,3,2,7.49,-4.58,15.15,1.76,46.35,88.94,5.63,8.57,345.0,0.0
2000,3,3,8.55,-6.49,18.49,-0.11,37.31,89.12,3.12,5.11,71.9,0.0
2000,3,4,12.27,-7.09,25.18,3.1,27.43,88.7,6.47,9.36,213.7,0.0
2000,3,5,10.41,-5.13,19.06,3.57,35.14,88.9,5.61,8.56,19.7,0.0
2000,3,6,11.32,-4.95,21.37,2.32,34.65,88.67,4.87,7.21,130.0,0.0
2000,3,7,14.02,-6.84,25.07,5.63,25.83,88.11,5.28,8.81,256.9,0.0
2000,3,8,9.74,-3.04,19.23,1.94,44.85,88.53,4.99,7.6,342.3,0.0
2000,3,9,9.18,-7.91,17.91,1.96,31.44,88.9,5.18,8.38,53.7,0.0
2000,3,10,10.68,-8.95,20.61,2.12,24.93,88.75,4.66,7.12,111.8,0.0
2000,3,11,11.86,-8.57,22.47,2.86,24.67,88.73,3.81,5.12,77.7,0.0
2000,3,12,13.59,-9.93,24.77,4.05,20.55,88.76,3.18,5.13,61.6,0.0
2000,3,13,15.86,-11.05,27.28,5.7,15.23,88.43,4.77,6.52,89.2,0.0
2000,3,14,14.39,-7.5,24.13,5.44,22.74,88.38,3.82,5.47,46.3,0.0
2000,3,15,13.98,-3.29,22.46,7.71,32.06,88.62,5.15,8.29,90.6,0.0
2000,3,16,14.91,-3.39,24.86,6.55,31.25,88.46,5.65,8.74,104.0,0.0
2000,3,17,16.7,-10.06,27.78,7.79,19.99,88.09,5.28,9.63,238.7,0.0
2000,3,18,16.0,-7.54,24.22,8.47,21.27,88.15,5.18,8.15,290.4,0.0
2000,3,19,17.72,-8.17,26.66,9.53,17.47,88.55,2.52,4.4,289.4,0.0
2000,3,20,19.47,-7.97,29.02,12.26,15.53,88.61,2.46,4.2,337.7,0.0
2000,3,21,21.71,-4.29,31.93,12.59,18.43,88.32,7.5,13.44,191.1,0.0
2000,3,22,23.09,0.22,31.91,16.65,22.46,88.14,7.11,11.79,238.3,0.0
2000,3,23,21.75,5.95,30.49,14.22,37.95,87.79,7.84,12.57,243.1,0.0
2000,3,24,13.39,-7.28,19.72,7.29,24.32,88.05,6.97,10.95,300.8,0.0
2000,3,25,11.64,-7.08,20.55,3.33,29.94,88.61,3.44,5.47,29.5,0.0
2000,3,26,13.2,-8.8,22.41,4.25,23.4,88.74,3.36,6.01,49.6,0.0
2000,3,27,13.89,-8.63,22.11,6.81,20.88,88.8,5.28,7.63,46.2,0.0
2000,3,28,13.92,-14.24,23.51,5.13,13.15,88.87,3.6,5.5,49.7,0.0
2000,3,29,14.79,-15.71,24.4,5.74,10.34,88.88,2.73,3.86,62.0,0.0
2000,3,30,17.02,-13.8,26.36,6.88,10.6,88.74,3.14,4.83,123.7,0.0
2000,3,31,19.25,-4.02,26.92,11.71,21.17,88.36,4.69,9.17,118.9,0.0
2000,4,1,20.16,7.99,28.51,12.9,50.11,88.35,6.55,9.35,161.0,0.0
2000,4,2,20.85,8.13,27.74,14.19,46.85,88.48,4.72,7.49,172.6,0.0
2000,4,3,22.16,5.12,30.82,14.35,40.97,88.46,3.13,4.31,131.6,0.0
2000,4,4,23.26,4.39,31.6,14.34,34.48,88.6,2.65,4.32,133.0,0.0
2000,4,5,24.41,-0.47,33.05,17.3,20.71,88.63,2.96,6.87,341.1,0.0
2000,4,6,22.98,-6.85,32.06,14.8,13.83,88.68,3.8,6.37,3.0,0.0
2000,4,7,23.95,-5.13,31.87,14.85,14.69,88.51,3.8,5.64,142.7,0.0
2000,4,8,25.71,-3.1,34.25,16.92,16.98,88.37,6.09,7.52,254.6,0.0
2000,4,9,24.0,-0.43,33.86,15.27,21.55,88.31,5.68,10.69,247.6,0.0
2000,4,10,20.71,-2.89,30.73,12.63,21.87,88.58,4.5,7.98,16.4,0.0
2000,4,11,21.07,-4.16,31.81,10.43,20.74,88.74,3.32,5.69,100.1,0.0
2000,4,12,24.15,-2.38,33.81,14.81,18.07,88.77,5.0,7.99,134.9,0.0
2000,4,13,26.64,-1.77,36.1,18.37,16.5,88.55,6.18,9.37,174.7,0.0
2000,4,14,28.19,-0.94,36.52,18.75,16.08,88.26,3.32,5.22,228.2,0.0
2000,4,15,27.15,3.53,35.7,18.77,24.97,88.21,4.21,5.96,281.7,0.0
2000,4,16,23.36,10.33,32.97,18.2,46.98,88.34,6.48,9.41,173.3,0.01
2000,4,17,24.81,7.29,32.79,15.46,40.28,88.21,4.55,7.89,214.7,0.0
2000,4,18,25.48,4.4,33.53,16.81,30.54,88.08,4.65,6.87,229.6,0.0
2000,4,19,26.24,0.44,34.86,15.84,21.24,88.12,5.17,8.17,232.5,0.0
2000,4,20,27.12,5.24,35.84,19.09,27.89,88.13,6.78,13.57,241.5,0.0
2000,4,21,20.49,-7.72,29.24,13.05,15.39,88.35,5.23,8.58,308.1,0.0
2000,4,22,21.2,-10.22,30.95,11.08,11.84,88.37,3.89,6.65,277.6,0.0
2000,4,23,20.47,-9.34,29.83,10.8,13.96,88.4,3.93,5.62,304.2,0.0
2000,4,24,20.96,-9.28,30.66,11.11,14.27,88.35,3.33,5.86,4.9,0.0
2000,4,25,22.43,-5.33,31.91,13.01,17.46,88.35,4.6,7.09,53.3,0.0
2000,4,26,23.48,-2.73,31.6,15.17,17.98,88.27,7.49,9.66,85.2,0.0
2000,4,27,25.51,1.33,33.91,17.97,21.88,88.14,7.08,12.09,175.0,0.0
2000,4,28,23.51,-4.28,32.57,15.75,24.19,88.25,5.39,9.35,247.9,0.0
2000,4,29,22.05,-9.49,32.0,11.57,13.37,88.4,3.53,4.95,281.1,0.0
2000,4,30,24.26,-9.54,33.93,15.6,10.62,88.37,3.73,6.52,12.1,0.0
2000,5,1,23.9,-5.8,32.67,14.3,14.73,88.45,4.15,6.99,43.0,0.0
2000,5,2,25.25,1.0,33.12,16.16,21.81,88.48,5.9,7.98,141.4,0.0
2000,5,3,27.15,2.43,35.34,19.13,28.09,88.43,4.69,7.88,189.6,0.16
2000,5,4,27.92,-1.8,36.45,18.39,14.88,88.27,3.84,6.42,227.1,0.0
2000,5,5,24.79,7.12,30.76,19.98,33.69,88.33,4.5,7.49,259.8,0.0
2000,5,6,26.2,9.03,34.06,18.26,38.26,88.43,3.08,4.33,123.1,0.0
2000,5,7,27.3,7.89,35.54,18.84,33.05,88.38,4.0,7.96,159.0,0.0
2000,5,8,25.74,-4.79,34.23,18.24,15.28,88.34,5.89,8.96,302.2,0.0
2000,5,9,22.63,-5.98,31.88,13.63,14.62,88.55,5.27,9.24,43.9,0.0
2000,5,10,23.55,-4.03,31.93,14.97,16.39,88.56,5.75,7.6,83.6,0.0
2000,5,11,25.31,-3.85,34.43,16.72,14.24,88.49,5.79,8.11,132.6,0.0
2000,5,12,27.13,-4.33,36.83,16.67,14.84,88.43,3.58,4.7,322.2,0.0
2000,5,13,28.24,-5.87,36.63,19.87,10.35,88.41,4.72,8.61,289.0,0.0
2000,5,14,28.11,-4.66,36.76,18.25,11.57,88.47,2.78,4.41,335.8,0.0
2000,5,15,29.29,3.28,35.85,23.72,20.14,88.43,4.23,8.17,271.6,0.0
2000,5,16,28.14,-0.92,35.91,20.92,15.6,88.34,4.33,7.39,308.0,0.0
2000,5,17,27.12,-5.69,35.98,18.12,12.26,88.21,3.78,5.74,320.4,0.0
2000,5,18,26.77,-3.94,34.0,19.69,13.91,88.15,2.36,3.71,14.9,0.0
2000,5,19,27.5,-1.14,35.01,20.38,15.94,88.2,5.24,6.98,303.0,0.0
2000,5,20,25.37,-1.78,33.91,16.81,18.12,88.28,5.8,8.86,286.7,0.0
2000,5,21,26.41,-2.53,34.86,17.55,16.3,88.41,3.59,5.38,325.4,0.0
2000,5,22,26.96,-4.03,35.42,17.53,13.74,88.46,3.4,5.91,29.1,0.0
2000,5,23,28.06,-5.82,37.07,18.79,10.91,88.33,3.51,5.29,314.3,0.0
2000,5,24,27.84,-8.57,37.66,17.82,8.83,88.08,3.87,5.18,300.5,0.0
2000,5,25,26.82,-6.21,36.38,16.95,12.02,88.13,3.4,5.56,351.3,0.0
2000,5,26,28.07,-7.43,37.56,17.9,10.11,88.08,2.8,4.24,28.1,0.0
2000,5,27,28.92,-5.78,39.15,18.05,10.67,88.02,3.59,5.06,317.9,0.0
2000,5,28,27.97,-3.58,37.24,18.42,13.29,88.18,4.68,7.85,1.2,0.0
2000,5,29,28.97,-2.48,38.14,18.83,14.22,88.25,3.31,5.45,62.1,0.0
2000,5,30,30.34,-3.23,39.21,20.47,11.86,88.12,4.27,5.61,122.9,0.0
2000,5,31,31.49,-3.04,40.53,21.46,11.31,87.99,3.9,5.03,217.1,0.0
2000,6,1,30.87,-2.01,39.77,21.72,12.58,88.03,4.28,6.36,331.3,0.0
2000,6,2,30.78,-4.53,40.06,20.94,10.8,87.93,5.46,7.62,210.5,0.0
2000,6,3,28.99,-6.75,38.47,18.93,10.61,88.06,5.88,8.54,276.4,0.0
2000,6,4,30.08,-4.67,39.64,20.12,10.68,88.22,5.18,7.5,289.6,0.0
2000,6,5,30.06,-4.38,39.37,19.92,11.18,88.22,3.89,6.13,330.7,0.0
2000,6,6,30.89,-4.41,39.65,23.36,10.43,87.99,4.21,8.26,303.6,0.0
2000,6,7,29.32,-5.34,39.04,19.44,12.18,88.0,3.28,4.81,324.7,0.0
2000,6,8,29.56,-3.83,38.44,19.54,12.42,88.09,3.49,6.47,26.2,0.0
2000,6,9,28.65,-4.35,37.24,19.49,12.21,88.22,4.94,6.84,347.5,0.0
2000,6,10,28.59,0.71,36.94,20.08,17.63,88.24,5.07,6.52,353.2,0.0
2000,6,11,29.4,1.16,37.94,21.0,17.54,88.32,4.8,7.96,342.7,0.0
2000,6,12,29.88,-2.48,38.39,20.53,13.16,88.32,4.58,6.6,337.7,0.0
2000,6,13,29.75,-5.08,38.21,20.98,10.39,88.21,4.9,6.08,3.0,0.0
2000,6,14,28.05,-9.09,36.55,19.85,8.18,88.14,5.13,6.99,22.3,0.0
2000,6,15,28.54,-10.16,37.15,20.03,7.1,88.06,3.82,5.75,2.9,0.0
2000,6,16,29.68,-9.62,38.45,20.38,6.99,88.08,2.7,4.18,94.9,0.0
2000,6,17,31.0,-8.21,39.22,21.0,7.39,88.24,3.29,5.85,109.5,0.0
2000,6,18,32.02,-5.38,39.95,22.71,8.7,88.2,3.19,4.52,323.4,0.0
2000,6,19,30.98,-3.64,39.7,21.49,11.18,88.07,3.94,5.26,308.5,0.0
2000,6,20,31.58,-5.07,40.5,23.06,9.5,88.13,2.61,4.36,340.5,0.0
2000,6,21,31.63,-4.1,40.31,22.25,10.15,88.21,3.6,7.56,111.9,0.0
2000,6,22,31.44,-2.77,39.93,21.85,11.58,88.25,2.74,4.57,117.5,0.0
2000,6,23,31.85,-3.31,40.48,22.62,10.68,88.1,4.12,6.2,3.8,0.0
2000,6,24,31.05,-3.83,40.18,22.2,10.99,87.98,4.74,7.76,350.7,0.0
2000,6,25,30.97,-5.33,40.36,21.29,9.71,87.91,4.03,6.78,350.7,0.0
2000,6,26,30.15,-4.38,38.68,20.91,11.06,87.93,3.76,5.81,357.4,0.0
2000,6,27,29.1,-4.44,37.38,20.54,11.76,87.93,5.16,7.21,0.0,0.0
2000,6,28,30.13,-2.96,38.39,20.83,12.43,87.91,3.49,5.14,22.5,0.0
2000,6,29,31.12,-4.15,39.22,22.02,10.63,87.99,4.01,5.69,70.2,0.0
2000,6,30,31.19,-4.1,39.69,22.06,10.48,88.06,4.09,6.38,57.4,0.0
2000,7,1,32.09,-3.27,40.34,22.82,10.54,88.07,4.32,5.81,43.7,0.0
2000,7,2,32.87,-1.73,40.76,25.32,11.2,88.05,6.6,9.04,36.4,0.0
2000,7,3,32.5,-1.18,40.43,24.31,11.99,88.01,4.99,7.12,49.2,0.0
2000,7,4,33.44,-0.61,41.44,25.42,11.95,87.95,2.56,3.8,62.8,0.0
2000,7,5,34.07,-0.44,42.34,24.99,11.85,87.92,3.22,4.02,288.5,0.0
2000,7,6,33.25,-0.31,41.31,25.11,12.26,87.85,4.04,4.93,353.3,0.0
2000,7,7,32.94,-2.01,41.22,24.52,11.05,87.72,4.38,6.29,348.3,0.0
2000,7,8,33.03,-5.52,41.54,24.32,8.2,87.85,3.95,5.39,309.1,0.0
2000,7,9,31.82,-3.83,39.78,24.25,10.6,87.92,6.28,8.51,302.2,0.0
2000,7,10,30.58,-5.28,39.96,21.01,10.05,87.7,4.74,6.7,307.7,0.0
2000,7,11,30.95,-2.93,39.51,22.37,11.96,87.74,4.4,5.89,331.9,0.0
2000,7,12,30.89,0.24,38.67,22.49,14.84,87.84,5.11,6.99,333.0,0.0
2000,7,13,30.86,0.77,38.5,22.81,15.31,87.78,5.61,7.65,313.0,0.0
2000,7,14,31.71,2.82,39.34,23.34,16.83,87.68,4.64,6.55,312.8,0.0
2000,7,15,32.59,1.18,40.16,24.44,14.16,87.8,4.92,6.48,357.3,0.0
2000,7,16,32.56,-0.55,39.95,25.29,12.63,88.02,5.45,6.6,12.1,0.0
2000,7,17,31.98,-3.39,39.62,23.95,10.48,88.18,5.56,7.5,354.5,0.0
2000,7,18,31.33,-0.91,39.05,23.72,13.34,87.92,5.65,7.02,339.2,0.0
2000,7,19,32.18,1.56,40.16,23.28,15.26,87.69,3.22,4.25,0.6,0.0
2000,7,20,33.03,-0.02,40.79,24.02,12.71,87.8,4.17,6.48,153.8,0.0
2000,7,21,33.52,3.85,40.52,24.99,16.72,87.97,2.53,4.5,268.6,0.0
2000,7,22,34.05,-0.76,41.36,26.44,11.33,87.99,3.54,5.52,129.3,0.0
2000,7,23,33.59,2.04,40.72,26.26,14.33,87.99,3.03,4.31,66.5,0.02
2000,7,24,33.6,0.0,41.14,25.86,12.64,87.9,4.55,6.56,33.0,0.0
2000,7,25,33.59,-0.29,41.63,25.61,12.25,88.02,4.8,7.21,55.0,0.0
2000,7,26,33.13,1.68,40.66,25.18,14.3,88.17,4.91,7.16,45.1,0.0
2000,7,27,32.94,5.05,38.91,26.35,18.35,88.1,3.58,6.26,39.5,0.0
2000,7,28,32.98,1.15,40.98,24.65,14.6,88.0,4.33,7.65,355.8,0.0
2000,7,29,33.05,-2.07,40.84,25.05,10.66,88.04,4.14,6.86,20.6,0.0
2000,7,30,33.04,-4.43,40.94,24.49,8.94,88.08,3.25,4.27,332.2,0.0
2000,7,31,33.69,-4.44,42.36,24.76,8.82,88.03,3.79,5.08,105.2,0.0
2000,8,1,33.8,-2.84,42.13,25.3,9.87,87.92,5.25,7.37,24.8,0.0
2000,8,2,33.11,-2.95,41.25,24.39,10.01,87.82,5.45,8.09,35.6,0.0
2000,8,3,32.75,-2.82,40.92,24.65,10.44,87.84,5.35,7.69,45.2,0.0
2000,8,4,32.85,0.6,40.75,24.92,13.5,87.89,4.23,6.03,61.9,0.0
2000,8,5,33.33,-0.71,41.81,24.65,12.13,87.82,3.49,5.68,131.5,0.0
2000,8,6,33.99,-0.59,42.33,25.81,11.46,87.86,2.47,6.8,356.8,0.0
2000,8,7,33.86,0.01,41.68,25.5,11.78,88.05,5.43,7.1,22.3,0.0
2000,8,8,34.05,0.51,41.92,26.36,12.31,88.2,4.64,5.98,76.4,0.0
2000,8,9,34.07,1.53,42.31,25.43,13.59,88.18,3.33,5.01,39.1,0.0
2000,8,10,33.83,2.9,41.96,25.66,15.32,87.98,3.95,6.27,3.6,0.0
2000,8,11,32.86,0.83,41.3,24.91,13.95,87.85,4.37,7.39,348.6,0.0
2000,8,12,31.47,-1.18,40.01,22.5,13.36,87.83,3.5,4.94,6.9,0.0
2000,8,13,32.11,-2.87,40.49,22.67,11.03,87.97,3.0,5.44,64.4,0.0
2000,8,14,33.5,-3.5,41.75,24.91,9.39,88.05,3.57,5.86,131.6,0.0
2000,8,15,33.26,-1.44,41.34,24.51,10.88,88.04,3.39,5.15,180.0,0.0
2000,8,16,32.51,-2.08,40.81,24.16,11.22,88.02,4.27,5.39,351.9,0.0
2000,8,17,33.19,1.71,41.04,24.66,14.37,88.04,3.04,4.7,29.1,0.0
2000,8,18,33.68,2.13,41.14,25.26,14.61,88.09,3.43,5.17,49.1,0.0
2000,8,19,34.15,-0.68,41.89,25.78,11.21,88.07,3.72,6.74,31.5,0.0
2000,8,20,33.14,-1.99,41.24,24.85,10.88,87.97,4.54,6.02,82.3,0.0
2000,8,21,32.52,-1.59,40.77,24.46,11.67,88.0,4.55,6.8,116.6,0.0
2000,8,22,32.88,-2.38,41.18,25.14,10.58,88.11,3.6,6.65,39.3,0.0
2000,8,23,32.96,0.98,40.74,25.52,13.64,88.22,4.39,6.48,55.3,0.0
2000,8,24,32.81,1.02,40.53,25.32,13.83,88.15,4.3,6.25,74.6,0.0
2000,8,25,32.81,-0.46,40.65,24.52,12.61,87.94,3.44,4.51,108.5,0.0
2000,8,26,32.71,-1.92,40.92,24.41,11.15,87.99,3.77,6.07,139.4,0.0
2000,8,27,32.8,-0.99,41.04,24.36,12.16,88.07,3.73,5.79,134.9,0.0
2000,8,28,33.57,-3.2,41.76,26.24,9.56,88.07,2.68,4.58,133.5,0.0
2000,8,29,32.84,1.23,40.74,25.1,14.11,88.03,4.77,6.45,45.2,0.0
2000,8,30,31.84,2.98,39.68,24.52,17.22,87.91,4.0,6.49,43.7,0.0
2000,8,31,30.28,0.06,39.48,21.67,15.51,87.89,4.17,5.68,21.8,0.0
2000,9,1,28.67,-1.23,36.9,20.35,15.05,88.0,4.32,6.39,45.5,0.0
2000,9,2,28.47,-3.65,36.88,19.89,13.05,88.0,3.16,5.74,32.8,0.0
2000,9,3,27.21,-1.93,35.33,19.32,15.67,88.1,4.2,6.03,1.5,0.0
2000,9,4,27.56,-5.78,36.05,19.59,11.49,88.26,3.66,4.44,2.0,0.0
2000,9,5,28.31,-4.79,37.3,19.81,12.06,88.14,3.07,5.19,45.5,0.0
2000,9,6,28.35,-4.86,36.6,19.9,11.62,88.01,3.2,5.72,41.4,0.0
2000,9,7,28.23,-1.27,36.46,19.98,15.58,88.1,3.87,5.11,41.0,0.0
2000,9,8,28.1,-0.99,36.04,20.32,15.73,88.46,4.75,6.53,62.1,0.0
2000,9,9,27.41,-2.1,35.6,19.8,15.5,88.68,4.54,6.06,54.9,0.0
2000,9,10,26.34,-3.68,34.69,18.28,14.83,88.52,3.26,4.02,30.2,0.0
2000,9,11,28.52,-4.29,36.14,22.07,11.8,88.27,3.19,5.71,310.3,0.0
2000,9,12,27.96,-1.63,36.65,19.07,15.2,88.12,3.92,6.51,320.9,0.0
2000,9,13,27.51,-0.87,36.11,18.99,16.62,88.21,3.29,5.25,356.8,0.0
2000,9,14,28.72,-2.89,37.02,20.0,13.37,88.26,3.85,7.11,116.9,0.0
2000,9,15,28.0,-3.01,36.58,19.92,13.82,88.17,4.55,7.82,256.5,0.0
2000,9,16,27.0,-3.11,36.15,18.14,15.55,88.17,3.82,4.62,256.8,0.0
2000,9,17,26.99,-2.73,36.65,18.13,15.95,88.34,5.8,9.54,249.8,0.0
2000,9,18,28.12,-3.21,37.05,19.47,12.65,88.43,3.9,5.53,306.3,0.0
2000,9,19,28.65,-1.89,37.28,20.65,14.22,88.37,4.2,5.2,17.5,0.0
2000,9,20,28.1,-0.55,36.32,20.24,16.37,88.37,3.71,5.58,79.0,0.0
2000,9,21,28.3,-0.63,36.72,20.12,16.41,88.36,2.73,4.52,130.3,0.0
2000,9,22,28.92,-1.04,37.61,20.27,15.2,88.42,3.08,5.31,186.8,0.0
2000,9,23,29.79,-1.66,38.04,21.8,13.76,88.46,2.96,5.77,183.3,0.0
2000,9,24,30.6,0.11,37.73,25.23,14.49,88.47,3.08,5.49,341.7,0.0
